LOS,Freq
1015,150
1016,148
1017,131
1018,154
1019,150
1020,116
1021,130
1022,136
1023,120
1024,131
1025,170
1026,155
1027,153
1028,146
1029,130
1030,154
1031,149
1032,145
1033,148
1034,140
1035,124
1036,130
1037,147
1038,164
1039,139
1040,121
1041,103
1042,148
1043,130
1044,137
1045,131
1046,148
1047,138
1048,132
1049,140
1050,115
1051,117
1052,140
1053,151
1054,109
1055,140
1056,140
1057,123
1058,128
1059,144
1060,143
1061,142
1062,136
1063,129
1064,143
1065,118
1066,142
1067,144
1068,138
1069,128
1070,141
1071,120
1072,135
1073,114
1074,136
1075,118
1076,149
1077,154
1078,127
1079,141
1080,123
1081,118
1082,144
1083,143
1084,124
1085,158
1086,116
1087,130
1088,128
1089,131
1090,140
1091,121
1092,146
1093,121
1094,139
1095,147
1096,125
1097,127
1098,128
1099,149
1100,107
1101,132
1102,119
1103,138
1104,131
1105,134
1106,145
1107,114
1108,119
1109,117
1110,140
1111,118
1112,124
1113,113
1114,125
1115,128
1116,105
1117,134
1118,121
1119,138
1120,124
1121,126
1122,115
1123,135
1124,125
1125,110
1126,123
1127,108
1128,112
1129,127
1130,145
1131,120
1132,129
1133,128
1134,108
1135,121
1136,118
1137,114
1138,134
1139,116
1140,109
1141,130
1142,111
1143,110
1144,127
1145,139
1146,122
1147,120
1148,148
1149,110
1150,101
1151,115
1152,109
1153,117
1154,121
1155,117
1156,120
1157,117
1158,111
1159,107
1160,129
1161,107
1162,107
1163,106
1164,97
1165,107
1166,119
1167,117
1168,111
1169,107
1170,119
1171,119
1172,99
1173,106
1174,110
1175,117
1176,103
1177,104
1178,104
1179,94
1180,97
1181,120
1182,112
1183,120
1184,96
1185,131
1186,102
1187,106
1188,105
1189,119
1190,124
1191,95
1192,117
1193,110
1194,106
1195,103
1196,114
1197,106
1198,122
1199,109
1200,101
1201,99
1202,114
1203,134
1204,102
1205,89
1206,122
1207,109
1208,105
1209,112
1210,120
1211,122
1212,114
1213,99
1214,86
1215,104
1216,87
1217,101
1218,111
1219,118
1220,114
1221,94
1222,104
1223,95
1224,116
1225,117
1226,110
1227,97
1228,98
1229,82
1230,108
1231,106
1232,100
1233,107
1234,116
1235,97
1236,114
1237,98
1238,107
1239,96
1240,98
1241,98
1242,106
1243,94
1244,111
1245,89
1246,105
1247,91
1248,103
1249,92
1250,105
1251,93
1252,97
1253,101
1254,99
1255,92
1256,110
1257,111
1258,108
1259,108
1260,85
1261,82
1262,96
1263,96
1264,85
1265,105
1266,106
1267,92
1268,91
1269,96
1270,104
1271,98
1272,99
1273,79
1274,91
1275,98
1276,82
1277,103
1278,105
1279,110
1280,107
1281,97
1282,89
1283,94
1284,83
1285,103
1286,101
1287,92
1288,102
1289,110
1290,93
1291,96
1292,105
1293,83
1294,89
1295,91
1296,90
1297,73
1298,83
1299,92
1300,83
1301,103
1302,94
1303,96
1304,99
1305,93
1306,79
1307,99
1308,88
1309,101
1310,96
1311,99
1312,68
1313,96
1314,118
1315,85
1316,94
1317,107
1318,92
1319,76
1320,107
1321,85
1322,81
1323,109
1324,91
1325,92
1326,91
1327,78
1328,93
1329,107
1330,103
1331,81
1332,95
1333,83
1334,71
1335,77
1336,100
1337,94
1338,94
1339,93
1340,99
1341,93
1342,80
1343,103
1344,92
1345,96
1346,99
1347,73
1348,92
1349,68
1350,58
1351,109
1352,80
1353,83
1354,85
1355,84
1356,89
1357,83
1358,83
1359,78
1360,72
1361,100
1362,96
1363,86
1364,84
1365,94
1366,72
1367,86
1368,77
1369,92
1370,80
1371,73
1372,106
1373,78
1374,84
1375,72
1376,90
1377,75
1378,89
1379,80
1380,99
1381,81
1382,89
1383,92
1384,82
1385,98
1386,95
1387,73
1388,94
1389,73
1390,71
1391,81
1392,89
1393,83
1394,98
1395,78
1396,89
1397,77
1398,71
1399,67
1400,86
1401,71
1402,78
1403,67
1404,75
1405,78
1406,83
1407,68
1408,79
1409,81
1410,83
1411,77
1412,83
1413,78
1414,82
1415,71
1416,75
1417,66
1418,77
1419,85
1420,73
1421,84
1422,80
1423,73
1424,71
1425,67
1426,78
1427,81
1428,93
1429,75
1430,83
1431,77
1432,70
1433,69
1434,78
1435,84
1436,77
1437,90
1438,65
1439,66
1440,78
1441,90
1442,85
1443,80
1444,73
1445,72
1446,79
1447,66
1448,90
1449,72
1450,70
1451,59
1452,76
1453,79
1454,74
1455,68
1456,69
1457,70
1458,76
1459,75
1460,57
1461,60
1462,57
1463,71
1464,69
1465,69
1466,70
1467,66
1468,84
1469,67
1470,65
1471,58
1472,71
1473,70
1474,53
1475,72
1476,77
1477,65
1478,62
1479,60
1480,68
1481,64
1482,55
1483,70
1484,73
1485,82
1486,64
1487,72
1488,74
1489,68
1490,74
1491,69
1492,70
1493,72
1494,76
1495,56
1496,75
1497,69
1498,60
1499,52
1500,68
1501,55
1502,66
1503,72
1504,64
1505,73
1506,56
1507,73
1508,61
1509,68
1510,75
1511,65
1512,60
1513,89
1514,70
1515,61
1516,67
1517,50
1518,73
1519,81
1520,67
1521,52
1522,75
1523,59
1524,77
1525,61
1526,70
1527,60
1528,67
1529,65
1530,58
1531,63
1532,63
1533,55
1534,56
1535,66
1536,66
1537,57
1538,46
1539,71
1540,69
1541,58
1542,73
1543,67
1544,62
1545,65
1546,74
1547,64
1548,56
1549,65
1550,53
1551,58
1552,50
1553,57
1554,53
1555,59
1556,47
1557,60
1558,65
1559,55
1560,56
1561,69
1562,50
1563,53
1564,56
1565,44
1566,60
1567,63
1568,69
1569,64
1570,62
1571,58
1572,70
1573,57
1574,53
1575,55
1576,61
1577,53
1578,54
1579,52
1580,60
1581,59
1582,57
1583,60
1584,68
1585,58
1586,61
1587,59
1588,61
1589,66
1590,56
1591,43
1592,68
1593,71
1594,43
1595,61
1596,53
1597,48
1598,70
1599,63
1600,59
1601,61
1602,57
1603,75
1604,64
1605,63
1606,73
1607,74
1608,50
1609,50
1610,51
1611,58
1612,52
1613,51
1614,52
1615,59
1616,66
1617,57
1618,64
1619,54
1620,50
1621,42
1622,60
1623,45
1624,60
1625,60
1626,63
1627,58
1628,51
1629,42
1630,59
1631,80
1632,63
1633,59
1634,53
1635,63
1636,64
1637,63
1638,66
1639,42
1640,53
1641,55
1642,46
1643,57
1644,57
1645,50
1646,49
1647,48
1648,53
1649,59
1650,64
1651,53
1652,48
1653,60
1654,55
1655,41
1656,44
1657,59
1658,60
1659,73
1660,51
1661,57
1662,49
1663,52
1664,52
1665,54
1666,56
1667,56
1668,62
1669,41
1670,46
1671,52
1672,59
1673,40
1674,44
1675,53
1676,49
1677,55
1678,63
1679,44
1680,61
1681,53
1682,56
1683,39
1684,56
1685,59
1686,53
1687,52
1688,58
1689,60
1690,59
1691,71
1692,46
1693,54
1694,47
1695,47
1696,51
1697,58
1698,53
1699,44
1700,53
1701,41
1702,55
1703,38
1704,51
1705,57
1706,41
1707,49
1708,44
1709,51
1710,51
1711,40
1712,45
1713,50
1714,60
1715,44
1716,50
1717,47
1718,53
1719,61
1720,56
1721,43
1722,50
1723,51
1724,53
1725,45
1726,58
1727,44
1728,42
1729,59
1730,46
1731,33
1732,48
1733,52
1734,46
1735,56
1736,54
1737,41
1738,57
1739,38
1740,52
1741,47
1742,59
1743,41
1744,41
1745,46
1746,54
1747,32
1748,43
1749,47
1750,48
1751,44
1752,45
1753,41
1754,38
1755,42
1756,45
1757,42
1758,51
1759,40
1760,49
1761,49
1762,42
1763,47
1764,49
1765,46
1766,53
1767,59
1768,51
1769,45
1770,41
1771,45
1772,61
1773,39
1774,39
1775,51
1776,47
1777,39
1778,56
1779,45
1780,37
1781,40
1782,42
1783,45
1784,43
1785,39
1786,46
1787,43
1788,42
1789,46
1790,31
1791,51
1792,48
1793,37
1794,34
1795,40
1796,48
1797,36
1798,37
1799,41
1800,46
1801,39
1802,44
1803,49
1804,41
1805,34
1806,36
1807,34
1808,47
1809,51
1810,42
1811,40
1812,43
1813,44
1814,37
1815,45
1816,41
1817,48
1818,45
1819,46
1820,39
1821,37
1822,51
1823,50
1824,47
1825,47
1826,54
1827,30
1828,55
1829,59
1830,27
1831,39
1832,52
1833,55
1834,38
1835,36
1836,40
1837,48
1838,37
1839,42
1840,38
1841,49
1842,38
1843,29
1844,53
1845,42
1846,40
1847,32
1848,37
1849,35
1850,48
1851,42
1852,45
1853,28
1854,34
1855,34
1856,38
1857,36
1858,43
1859,38
1860,55
1861,47
1862,41
1863,54
1864,33
1865,35
1866,40
1867,41
1868,33
1869,42
1870,47
1871,36
1872,31
1873,36
1874,29
1875,41
1876,34
1877,32
1878,25
1879,49
1880,31
1881,34
1882,37
1883,47
1884,43
1885,50
1886,35
1887,39
1888,41
1889,38
1890,46
1891,38
1892,37
1893,31
1894,31
1895,37
1896,42
1897,51
1898,30
1899,45
1900,31
1901,30
1902,47
1903,41
1904,22
1905,40
1906,41
1907,39
1908,32
1909,39
1910,40
1911,32
1912,34
1913,47
1914,35
1915,41
1916,41
1917,35
1918,33
1919,32
1920,38
1921,32
1922,32
1923,30
1924,38
1925,41
1926,35
1927,34
1928,34
1929,34
1930,27
1931,27
1932,29
1933,36
1934,34
1935,35
1936,36
1937,41
1938,31
1939,29
1940,26
1941,24
1942,34
1943,40
1944,26
1945,34
1946,30
1947,26
1948,33
1949,42
1950,42
1951,38
1952,40
1953,31
1954,39
1955,26
1956,35
1957,36
1958,31
1959,37
1960,39
1961,38
1962,33
1963,38
1964,27
1965,39
1966,33
1967,35
1968,45
1969,30
1970,42
1971,27
1972,28
1973,36
1974,24
1975,26
1976,40
1977,40
1978,36
1979,33
1980,36
1981,30
1982,34
1983,48
1984,44
1985,34
1986,39
1987,38
1988,41
1989,42
1990,30
1991,32
1992,30
1993,28
1994,29
1995,27
1996,30
1997,30
1998,24
1999,33
2000,34
2001,33
2002,41
2003,26
2004,37
2005,42
2006,38
2007,36
2008,38
2009,28
2010,34
2011,32
2012,30
2013,33
2014,35
2015,34
2016,29
2017,32
2018,31
2019,30
2020,23
2021,28
2022,27
2023,32
2024,37
2025,30
2026,31
2027,36
2028,33
2029,23
2030,40
2031,28
2032,32
2033,37
2034,29
2035,24
2036,43
2037,35
2038,27
2039,36
2040,26
2041,28
2042,38
2043,32
2044,30
2045,30
2046,26
2047,39
2048,29
2049,33
2050,33
2051,24
2052,19
2053,30
2054,29
2055,31
2056,33
2057,30
2058,25
2059,29
2060,26
2061,22
2062,24
2063,23
2064,32
2065,17
2066,30
2067,28
2068,25
2069,36
2070,29
2071,25
2072,36
2073,34
2074,28
2075,25
2076,26
2077,32
2078,25
2079,20
2080,30
2081,27
2082,29
2083,34
2084,27
2085,32
2086,28
2087,29
2088,33
2089,26
2090,25
2091,19
2092,24
2093,28
2094,33
2095,34
2096,27
2097,25
2098,22
2099,33
2100,31
2101,30
2102,25
2103,19
2104,26
2105,22
2106,22
2107,29
2108,35
2109,27
2110,27
2111,28
2112,25
2113,23
2114,23
2115,26
2116,20
2117,33
2118,19
2119,29
2120,25
2121,31
2122,19
2123,25
2124,23
2125,25
2126,29
2127,25
2128,29
2129,23
2130,28
2131,21
2132,35
2133,35
2134,30
2135,30
2136,24
2137,26
2138,21
2139,32
2140,25
2141,19
2142,25
2143,24
2144,40
2145,26
2146,24
2147,29
2148,27
2149,22
2150,29
2151,24
2152,20
2153,20
2154,18
2155,30
2156,19
2157,18
2158,29
2159,28
2160,28
2161,22
2162,28
2163,25
2164,29
2165,23
2166,24
2167,30
2168,23
2169,25
2170,25
2171,29
2172,34
2173,18
2174,34
2175,18
2176,20
2177,29
2178,27
2179,28
2180,28
2181,28
2182,32
2183,22
2184,35
2185,29
2186,22
2187,27
2188,20
2189,20
2190,21
2191,23
2192,26
2193,26
2194,29
2195,21
2196,31
2197,28
2198,25
2199,19
2200,22
2201,31
2202,29
2203,21
2204,25
2205,25
2206,29
2207,21
2208,22
2209,17
2210,28
2211,23
2212,27
2213,23
2214,20
2215,23
2216,22
2217,33
2218,22
2219,27
2220,20
2221,28
2222,17
2223,18
2224,31
2225,23
2226,21
2227,21
2228,23
2229,19
2230,21
2231,17
2232,21
2233,16
2234,34
2235,28
2236,28
2237,17
2238,23
2239,19
2240,23
2241,18
2242,21
2243,23
2244,28
2245,19
2246,29
2247,20
2248,14
2249,23
2250,21
2251,23
2252,21
2253,22
2254,21
2255,19
2256,17
2257,27
2258,34
2259,19
2260,23
2261,24
2262,20
2263,28
2264,26
2265,20
2266,16
2267,16
2268,20
2269,24
2270,16
2271,23
2272,18
2273,29
2274,25
2275,20
2276,20
2277,25
2278,18
2279,21
2280,20
2281,27
2282,26
2283,18
2284,21
2285,22
2286,21
2287,14
2288,21
2289,21
2290,21
2291,21
2292,18
2293,19
2294,21
2295,26
2296,22
2297,16
2298,17
2299,23
2300,15
2301,18
2302,16
2303,28
2304,25
2305,23
2306,20
2307,18
2308,17
2309,21
2310,34
2311,21
2312,19
2313,18
2314,25
2315,22
2316,20
2317,26
2318,18
2319,16
2320,20
2321,25
2322,14
2323,15
2324,16
2325,13
2326,12
2327,25
2328,28
2329,20
2330,20
2331,17
2332,19
2333,10
2334,17
2335,25
2336,12
2337,17
2338,17
2339,19
2340,23
2341,24
2342,26
2343,18
2344,23
2345,20
2346,15
2347,21
2348,28
2349,25
2350,21
2351,11
2352,15
2353,25
2354,14
2355,22
2356,21
2357,17
2358,20
2359,13
2360,17
2361,14
2362,25
2363,15
2364,21
2365,19
2366,24
2367,11
2368,12
2369,17
2370,20
2371,22
2372,21
2373,23
2374,18
2375,21
2376,16
2377,7
2378,19
2379,24
2380,21
2381,22
2382,20
2383,15
2384,23
